,,,,,y0,x0,,,,,,,
,,,,,-250.1,-148.90,,,,,,,
,,,"relative to center, bottom",,,,,,,set of six,set of four,,
Beam energy (GeV),Collimator,Run #,dy,dx,ypos (mm),xpos (mm),ypos (actual),xpos (actual),n_events,bias (V),bias (V),notes,prelim results notes
5,2mm x 2mm,276,?,?,?,?,,,10000,57.000,45.000,Unknown position + possible movement,CH7 and 9 are defective
5,2mm x 2mm,---,---,---,---,---,,,---,57.000,45.000,Parasitic run while other team,
5,2mm x 2mm,308,?,?,?,?,,,10000,57.000,45.000,,
,,,,,,,,,,,,,
5,2mm x 2mm,1,0.00,0.00,-250.1,-148.90,-250.10,-148.90,10000,57.000,45.000,Channels 6-9 (incl.) not activated due to failed LEMO cables,
5,2mm x 2mm,2,5.00,0.00,-245.1,-148.90,-245.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,3,10.00,0.00,-240.1,-148.90,-240.20,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,4,15.00,0.00,-235.1,-148.90,-235.00,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,5,20.00,0.00,-230.1,-148.90,-230.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,6,25.00,0.00,-225.1,-148.90,-225.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,7,30.00,0.00,-220.1,-148.90,-220.00,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,8,35.00,0.00,-215.1,-148.90,-215.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,9,40.00,0.00,-210.1,-148.90,-210.00,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,10,45.00,0.00,-205.1,-148.90,-205.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,11,50.00,0.00,-200.1,-148.90,-200.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,12,55.00,0.00,-195.1,-148.90,-195.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,13,60.00,0.00,-190.1,-148.90,-190.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,14,65.00,0.00,-185.1,-148.90,-185.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,15,70.00,0.00,-180.1,-148.90,-180.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,16,75.00,0.00,-175.1,-148.90,-175.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,17,80.00,0.00,-170.1,-148.90,-170.10,-148.90,10000,57.000,45.000,,
,,,,,,,,,,,,,
5,2mm x 2mm,18,?,?,?,-148.90,-250.00,,10000,57.000,45.000,Sensors test,CH7 and 9 are defective
,,,,,,,,,,,,,
5,2mm x 2mm,19,2.50,0.00,-247.6,-148.90,-247.60,-148.90,10000,57.000,45.000,"Channels 6-9 measured and biased, CH7 noisy due to LEMO",
5,2mm x 2mm,20,7.50,0.00,-242.6,-148.90,-242.50,-148.90,10000,57.000,45.000,Possible movement (negligible) due to rewiring and cable pulling,
5,2mm x 2mm,21,12.50,0.00,-237.6,-148.90,-237.60,-148.90,10000,57.000,45.000,"Stage was moved down for SiPM maintenance, and back to -250.1",
5,2mm x 2mm,22,17.50,0.00,-232.6,-148.90,-232.60,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,23,22.50,0.00,-227.6,-148.90,-227.50,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,24,27.50,0.00,-222.6,-148.90,-222.60,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,25,32.50,0.00,-217.6,-148.90,-217.70,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,26,37.50,0.00,-212.6,-148.90,-212.60,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,27,42.50,0.00,-207.6,-148.90,-207.70,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,28,47.50,0.00,-202.6,-148.90,-202.60,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,29,52.50,0.00,-197.6,-148.90,-197.60,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,30,57.50,0.00,-192.6,-148.90,-192.60,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,31,62.50,0.00,-187.6,-148.90,-187.60,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,32,67.50,0.00,-182.6,-148.90,-182.70,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,33,72.50,0.00,-177.6,-148.90,-177.60,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,34,77.50,0.00,-172.6,-148.90,-172.60,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,35,82.50,0.00,-167.6,-148.90,-167.60,-148.90,10000,57.000,45.000,,
,,,,,,,,,,,,,
5,2mm x 2mm,36,?,?,?,?,-250.00,-148.90,1000,57.000,45.000,"Sensors test (PUMAS in series, in front -> possibility for scattering)","10 sensors all working, consider statistics"
5,2mm x 2mm,312,?,?,?,?,-250.00,-148.90,10000,57.000,45.000,"Replaced faulty LEMO cables on CH 9, CH7 (shorting signal coax)",
,,,,,,,,,,,,,
5,2mm x 2mm,313,45.00,-50,-205.1,-198.90,-205.10,-198.90,10000,57.000,45.000,"PUMAS in series, in front -> all channels working","10 sensors all working, consider statistics"
5,2mm x 2mm,314,45.00,-45,-205.1,-193.90,-205.10,-193.90,10000,57.000,45.000,,
5,2mm x 2mm,315,45.00,-40,-205.1,-188.90,-205.10,-188.90,10000,57.000,45.000,,
5,2mm x 2mm,316,45.00,-35,-205.1,-183.90,-205.10,-183.90,10000,57.000,45.000,,
5,2mm x 2mm,317,45.00,-30,-205.1,-178.90,-205.10,-178.90,10000,57.000,45.000,,
5,2mm x 2mm,318,45.00,-25,-205.1,-173.90,-205.10,-173.90,10000,57.000,45.000,,
5,2mm x 2mm,319,45.00,-20,-205.1,-168.90,-205.10,-168.90,10000,57.000,45.000,,
5,2mm x 2mm,320,45.00,-15,-205.1,-163.90,-205.10,-163.90,10000,57.000,45.000,,
5,2mm x 2mm,321,45.00,-10,-205.1,-158.90,-205.10,-158.90,10000,57.000,45.000,,
5,2mm x 2mm,322,45.00,-5,-205.1,-153.90,-205.10,-153.90,10000,57.000,45.000,,
5,2mm x 2mm,323,45.00,0,-205.1,-148.90,-205.10,-148.90,10000,57.000,45.000,,
5,2mm x 2mm,324,45.00,5,-205.1,-143.90,-205.10,-143.90,10000,57.000,45.000,,
5,2mm x 2mm,325,45.00,10,-205.1,-138.90,-205.10,-138.90,10000,57.000,45.000,,
5,2mm x 2mm,326,45.00,15,-205.1,-133.90,-205.10,-133.90,10000,57.000,45.000,,
5,2mm x 2mm,327,45.00,20,-205.1,-128.90,-205.10,-128.90,10000,57.000,45.000,,
5,2mm x 2mm,328,45.00,25,-205.1,-123.90,-205.10,-123.90,10000,57.000,45.000,,
5,2mm x 2mm,329,45.00,30,-205.1,-118.90,-205.10,-118.90,10000,57.000,45.000,,
5,2mm x 2mm,330,45.00,35,-205.1,-113.90,-205.10,-113.90,10000,57.000,45.000,,
5,2mm x 2mm,331,45.00,40,-205.1,-108.90,-205.10,-108.90,10000,57.000,45.000,,
5,2mm x 2mm,332,45.00,45,-205.1,-103.90,-205.10,-104.00,10000,57.000,45.000,,
5,2mm x 2mm,333,45.00,50,-205.1,-98.90,-205.10,-98.90,10000,57.000,45.000,,
,,,,,,,,,,,,,
5,2mm x 2mm,334,10.00,-50,-240.1,-198.90,-240.10,-198.90,10000,57.000,45.000,Lightning strike took out the beam,
5,2mm x 2mm,335,10.00,-45,-240.1,-193.90,-240.10,?,10000,57.000,45.000,Lightning strike took out the beam,
,,,,,,,,,,,,,
5,2mm x 2mm,336,10.00,-50,-240.1,-198.90,-240.10,-198.90,10000,57.000,45.000,"PUMAS in series, in front -> all channels working",
5,2mm x 2mm,337,10.00,-45,-240.1,-193.90,-240.10,-193.90,10000,57.000,45.000,,
